step,execution_bon_16x16_acc,execution_bon_16x16_accumulate_acc,execution_bon_4x4_acc,execution_bon_4x4_accumulate_acc,execution_case_acc,execution_case_accumulate_acc,execution_code_acc,execution_code_accumulate_acc,execution_p_00,execution_p_01_as_logged,recorded_at,reward_case_reward_mean,reward_case_reward_num_groups,reward_case_reward_num_samples,reward_case_reward_std,reward_code_reward_mean,reward_code_reward_num_groups,reward_code_reward_num_samples,reward_code_reward_std,reward_problems_skipped,reward_problems_total,reward_problems_used,reward_reward_mode,reward_rollout_debug_meta_enabled,reward_rollout_debug_meta_max_problems_per_step,reward_rollout_debug_meta_slots_remaining_after_step,reward_rollout_debug_meta_truncate_chars,sampling_mean_case_response_tokens,sampling_mean_code_response_tokens
60,0.29,0.38875,0.19,0.26,0.31392045454545453,0.4054330065359477,0.19125,0.26140625,0.024527125337767616,0.24662813102119463,2026-04-03T14:09:26,0.207,7,704,0.4403,0.2614,9,1600,0.3977,0,100,100,gt_based,0,,0,,651.693125,583.48125
61,0.27,0.41375,0.29,0.39625,0.39488636363636365,0.4603746397694525,0.216875,0.331640625,0.053490238031559244,0.3836796756208819,2026-04-03T14:17:33,0.2404,7,704,0.4516,0.3316,4,1600,0.4085,0,100,100,gt_based,0,,0,,625.955,573.01625
62,0.26,0.39375,0.27,0.35375,0.35755813953488375,0.48668384879725085,0.181875,0.258984375,0.03663650408298389,0.22570016474464583,2026-04-03T14:26:09,0.2133,7,688,0.5438,0.259,11,1600,0.3968,0,100,100,gt_based,0,,0,,632.68625,564.6225
63,0.22,0.34875,0.23,0.3225,0.3975694444444444,0.5268485915492958,0.1775,0.25609375,0.049954310082241854,0.37293016558675307,2026-04-03T14:34:34,0.2335,5,576,0.5185,0.2561,7,1600,0.3888,0,100,100,gt_based,0,,0,,642.896875,592.163125
64,0.31,0.4596977329974811,0.28,0.4269521410579345,0.39166666666666666,0.47300392670157065,0.23875,0.33981423173803527,0.05877616747181964,0.37514863258026154,2026-04-03T14:43:05,0.2013,3,720,0.5443,0.3373,9,1600,0.4283,0,100,100,gt_based,0,,0,,630.865625,541.323125
65,0.34,0.4125,0.29,0.3625,0.3835227272727273,0.49019607843137253,0.223125,0.30171875,0.059341211968820716,0.3073015873015873,2026-04-03T14:51:04,0.1968,8,704,0.5246,0.3017,5,1600,0.4188,0,100,100,gt_based,0,,0,,644.393125,526.418125
66,0.31,0.45125,0.24,0.3825,0.3678977272727273,0.48011363636363635,0.22,0.33515625,0.06908378245957864,0.33999999999999997,2026-04-03T14:59:23,0.2057,10,704,0.5178,0.3352,10,1600,0.4247,0,100,100,gt_based,0,,0,,598.034375,558.879375
67,0.28,0.37625,0.23,0.31125,0.4423076923076923,0.5498670212765957,0.17625,0.2371875,0.045335658238884045,0.22058099458394875,2026-04-03T15:07:47,0.3092,6,624,0.5027,0.2372,9,1600,0.3864,0,100,100,gt_based,0,,0,,633.38375,516.47
68,0.28,0.39625,0.28,0.37125,0.33035714285714285,0.4727112676056338,0.221875,0.303515625,0.048613748575769083,0.28410513141426785,2026-04-03T15:16:04,0.1954,7,784,0.4565,0.3035,11,1600,0.4153,0,100,100,gt_based,0,,0,,621.04375,536.63
69,0.34,0.47375,0.32,0.40875,0.3903301886792453,0.46948702830188677,0.265,0.36484375,0.07412339103417666,0.2857769973661106,2026-04-03T15:24:08,0.202,7,848,0.5427,0.3648,8,1600,0.4353,0,100,100,gt_based,0,,0,,598.0575,514.68
70,0.29,0.405,0.27,0.38125,0.41776315789473684,0.471484375,0.2,0.2940625,0.08891928864569083,0.2808788598574822,2026-04-03T15:32:19,0.2747,9,608,0.5102,0.2941,11,1600,0.4131,0,100,100,gt_based,0,,0,,689.80375,513.94875
71,0.32,0.41102756892230574,0.31,0.38345864661654133,0.3723404255319149,0.39647435897435895,0.24375,0.31124686716791977,0.0969175229103027,0.40666362391602007,2026-04-03T15:40:36,0.1274,6,752,0.5542,0.3121,10,1600,0.4267,0,100,100,gt_based,0,,0,,628.181875,512.625
72,0.24,0.34005037783375314,0.23,0.2884130982367758,0.3309659090909091,0.422301912568306,0.22875,0.2886492443324937,0.0658974358974359,0.21087533156498672,2026-04-03T15:49:20,0.1821,10,704,0.5434,0.293,6,1600,0.4163,0,100,100,gt_based,0,,0,,615.545625,513.084375
